x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,label
0,0,0,-0.223694176,-0.175945214,-0.061732722,-0.370490702,-0.449965333,-0.10071107,-0.440466102,-0.6625873,-0.145722635,-0.50221207,-0.846584203,-0.176290169,-0.207887802,-0.752429652,-0.000878191,-0.330361932,-0.821967143,-0.111292744,-0.321184942,-0.60443829,-0.173987297,-0.274514131,-0.490597037,-0.20038971,-0.088354141,-0.747805524,-0.015835445,-0.22010027,-0.783139582,-0.124085764,-0.211840922,-0.542000147,-0.143628322,-0.163477056,-0.459421587,-0.134829821,0.033944486,-0.707888992,-0.05168262,-0.097000925,-0.731404734,-0.148567517,-0.101428384,-0.503066484,-0.11776925,-0.056450018,-0.429687471,-0.075497448,0.158006078,-0.632434067,-0.096928382,0.041957507,-0.674858789,-0.142081072,0.017331898,-0.521187704,-0.110872083,0.051307794,-0.464127123,-0.07394695,fist
0,0,0,-0.241489107,-0.193636528,-0.028785434,-0.36868125,-0.460847005,-0.047195469,-0.421967863,-0.68884764,-0.080191192,-0.47077723,-0.876412536,-0.101340352,-0.238961393,-0.682771051,0.042651555,-0.325338342,-0.787697636,-0.062578762,-0.296599999,-0.576291061,-0.12140871,-0.244704634,-0.461842771,-0.145377101,-0.114157315,-0.694528612,0.015148987,-0.213841088,-0.796936311,-0.100597135,-0.190641964,-0.538445032,-0.123395404,-0.140600113,-0.44146298,-0.111948052,0.01921073,-0.684078775,-0.030974957,-0.095309608,-0.780321608,-0.141226286,-0.0823472,-0.52398918,-0.109574128,-0.034603814,-0.426951581,-0.060854129,0.152289701,-0.641108735,-0.082564989,0.027346281,-0.695765035,-0.145581276,0.021645684,-0.524542066,-0.120537916,0.072320346,-0.456526995,-0.084369144,fist
       ,0,0,-0.24129726,-0.193079553,-0.004047535,-0.363858294,-0.478901623,-0.00803822,-0.400050353,-0.708351566,-0.032672883,-0.440417601,-0.896463679,-0.048838601,-0.239515205,-0.707372761,0.06962222,-0.329642683,-0.830248613,-0.035481974,-0.306784779,-0.604485808,-0.096987496,-0.262067067,-0.469109408,-0.118362559,-0.117021132,-0.711959115,0.031131749,-0.217028776,-0.818269318,-0.076088026,-0.192554415,-0.557264184,-0.098960059,-0.13944858,-0.439296721,-0.085779913,0.017779476,-0.692761044,-0.025063755,-0.097140549,-0.790241809,-0.128360297,-0.082223658,-0.523806478,-0.092385651,-0.032267055,-0.401317332,-0.038803454,0.160981113,-0.63922902,-0.084163585,0.03108265,-0.711528207,-0.138581415,0.018042114,-0.519894449,-0.101329452,0.062307547,-0.42834973,-0.055356106,fist
0,0,0,-0.231679483,-0.185596515,-0.017315542,-0.361255773,-0.454851256,-0.03652774,-0.399366106,-0.694236928,-0.074801033,-0.429246643,-0.897239507,-0.103482302,-0.246559973,-0.675905663,0.042963064,-0.322778873,-0.833707654,-0.069164653,-0.313078789,-0.617846367,-0.132941516,-0.268950291,-0.464226865,-0.155911071,-0.118794762,-0.683865029,0.007732723,-0.201880741,-0.82981659,-0.111743088,-0.192763991,-0.574231084,-0.141101584,-0.145121285,-0.439326493,-0.131251189,0.021614952,-0.668977576,-0.044605601,-0.071224808,-0.798038711,-0.154351853,-0.069606107,-0.538260046,-0.121746384,-0.026863434,-0.411910558,-0.071114918,0.167569631,-0.616013567,-0.100799608,0.060465452,-0.709689285,-0.1574481,0.042521437,-0.523242332,-0.122568059,0.084923907,-0.432651306,-0.079647516,fist
0,0,0,-0.222064554,-0.190462003,-0.045326395,-0.361160496,-0.45535145,-0.076723707,-0.405752614,-0.702218091,-0.122025961,-0.398463249,-0.904341794,-0.152947569,-0.220632987,-0.688684024,0.035098731,-0.292795466,-0.837274932,-0.083640904,-0.279566017,-0.616201768,-0.154611716,-0.237935362,-0.47523477,-0.185055556,-0.097719347,-0.695970803,0.012400384,-0.173119222,-0.856811428,-0.117679575,-0.166917972,-0.585973972,-0.150722206,-0.128836534,-0.458508231,-0.14120738,0.032912409,-0.682889978,-0.031753596,-0.050800376,-0.829495095,-0.149023842,-0.060229069,-0.559044804,-0.119968272,-0.026284701,-0.443420987,-0.069749519,0.164557459,-0.626547684,-0.083541305,0.06405625,-0.709403232,-0.14710868,0.039581112,-0.526284982,-0.123153778,0.077757311,-0.442751438,-0.087488501,fist
0,0,0,-0.221270426,-0.18909605,-0.050938719,-0.35929894,-0.450808118,-0.083518879,-0.41008452,-0.697511314,-0.127614802,-0.419150569,-0.894662517,-0.154569665,-0.223773945,-0.69041254,0.021731917,-0.307256393,-0.829326739,-0.100531151,-0.283190182,-0.598005562,-0.1677044,-0.23005059,-0.485087784,-0.19598039,-0.102128066,-0.694894239,0.00123554,-0.18520256,-0.853327692,-0.137588148,-0.170862119,-0.572709071,-0.166786577,-0.125622146,-0.470085265,-0.15233317,0.027074999,-0.682521696,-0.040773643,-0.064318299,-0.831533797,-0.166321567,-0.067841131,-0.550893762,-0.133014267,-0.026740686,-0.451254873,-0.077339549,0.155902756,-0.633520452,-0.090453247,0.047999024,-0.708002927,-0.158688088,0.034385952,-0.525264594,-0.134204624,0.083676913,-0.456888365,-0.096127971,fist
0,0,0,-0.226846752,-0.196047277,-0.060776253,-0.369577324,-0.44565049,-0.105121993,-0.421896495,-0.683990307,-0.160684282,-0.416776917,-0.88718476,-0.197990411,-0.213922995,-0.73500368,0.017053438,-0.293443233,-0.85406663,-0.114004346,-0.281729965,-0.620192897,-0.186281644,-0.23636765,-0.493858008,-0.215063119,-0.091270803,-0.729510709,-0.001414204,-0.183023511,-0.852577495,-0.148925477,-0.176295892,-0.568668364,-0.183411125,-0.126808455,-0.462416389,-0.170037231,0.039659697,-0.70688543,-0.043137488,-0.06072972,-0.819276822,-0.178161109,-0.065579091,-0.538785178,-0.149327711,-0.016482156,-0.441449352,-0.093171628,0.170740838,-0.646064769,-0.092977394,0.061299721,-0.716811854,-0.16282314,0.041355865,-0.522350743,-0.135858508,0.091967286,-0.446100825,-0.093763122,fist
0,0,0,-0.242549508,-0.134442381,-0.071175374,-0.416378005,-0.382010923,-0.113197219,-0.491150088,-0.641287788,-0.160679847,-0.49093555,-0.850554759,-0.188517604,-0.289756807,-0.659295268,-0.015541575,-0.380373224,-0.794259852,-0.13602707,-0.338566721,-0.55923278,-0.184706612,-0.276296649,-0.449478696,-0.199244773,-0.152194466,-0.672356412,-0.027322471,-0.248977457,-0.81532054,-0.166901132,-0.205243013,-0.525224093,-0.179933546,-0.144549798,-0.429209613,-0.154399428,-0.010527474,-0.668468692,-0.060572833,-0.108120245,-0.798776702,-0.199579118,-0.089371788,-0.495637491,-0.153525184,-0.043576478,-0.392591075,-0.085938092,0.134180084,-0.626346633,-0.101132747,0.022718372,-0.717699961,-0.182834937,0.014685485,-0.505662576,-0.150903633,0.057170825,-0.426619166,-0.104608941,fist
0,0,0,-0.252335032,-0.103372961,-0.063691488,-0.444614251,-0.34806251,-0.097725432,-0.520418506,-0.613650097,-0.137325705,-0.526612898,-0.835253682,-0.158209175,-0.322285889,-0.637160849,-0.004429194,-0.404863512,-0.777925019,-0.120813889,-0.358303291,-0.548904065,-0.170978581,-0.298900517,-0.431797183,-0.187794376,-0.184802812,-0.666190654,-0.019581553,-0.280265681,-0.815876679,-0.153274171,-0.229391102,-0.531966994,-0.169890902,-0.165818049,-0.430473237,-0.148891878,-0.043820431,-0.670318656,-0.05524065,-0.141856263,-0.818389463,-0.189691914,-0.11395934,-0.517902191,-0.144478708,-0.063612596,-0.410755448,-0.079680279,0.105462689,-0.633240325,-0.09726459,-0.003828974,-0.727708398,-0.180989638,-0.006407132,-0.512002256,-0.1495154,0.035557988,-0.433715722,-0.10417311,fist
0,0,0,-0.250976364,-0.114248377,-0.067354043,-0.443810497,-0.351947784,-0.10782827,-0.527220555,-0.612223668,-0.153819189,-0.524783518,-0.831793739,-0.180890671,-0.320421765,-0.641191449,-0.011285037,-0.404275714,-0.779763372,-0.127158937,-0.360607006,-0.554626688,-0.17494039,-0.303072532,-0.430464444,-0.18964765,-0.184867553,-0.672763463,-0.024874601,-0.274343344,-0.818415936,-0.156987021,-0.226528904,-0.536375155,-0.172291655,-0.165017851,-0.434650165,-0.151528153,-0.043171579,-0.677857284,-0.058789035,-0.137572725,-0.818026142,-0.192113657,-0.112513731,-0.51833726,-0.147184383,-0.063319017,-0.409086046,-0.08343615,0.105601649,-0.639466689,-0.099400922,-0.004220458,-0.737738521,-0.181612387,-0.011794188,-0.521131447,-0.149302335,0.027639955,-0.436134238,-0.103967049,fist
